Date,Price
2018-04-26,0.803
2018-04-27,0.801
2018-05-02,0.797
2018-05-03,0.799
2018-05-04,0.799
2018-05-07,0.8
2018-05-08,0.802
2018-05-09,0.8
2018-05-10,0.801
2018-05-11,0.806
2018-05-14,0.806
2018-05-15,0.8
2018-05-16,0.795
2018-05-17,0.795
2018-05-18,0.798
2018-05-21,0.795
2018-05-22,0.797
2018-05-23,0.796
2018-05-24,0.796
2018-05-25,0.8
2018-05-28,0.796
2018-05-29,0.796
2018-05-30,0.795
2018-05-31,0.799
2018-06-01,0.798
2018-06-04,0.797
2018-06-05,0.797
2018-06-06,0.8
2018-06-07,0.801
2018-06-08,0.802
2018-06-11,0.812
2018-06-12,0.812
2018-06-13,0.811
2018-06-14,0.825
2018-06-15,0.825
2018-06-19,0.797
2018-06-20,0.795
2018-06-21,0.792
2018-06-22,0.8
2018-06-25,0.8
2018-06-26,0.8
2018-06-27,0.801
2018-06-28,0.8
2018-06-29,0.8
2018-07-02,0.799
2018-07-03,0.8
2018-07-04,0.802
2018-07-05,0.802
2018-07-06,0.802
2018-07-09,0.802
2018-07-10,0.801
2018-07-11,0.8
2018-07-12,0.8
2018-07-13,0.8
2018-07-16,0.799
2018-07-17,0.796
2018-07-18,0.788
2018-07-19,0.789
2018-07-20,0.789
2018-07-23,0.794
2018-07-24,0.793
2018-07-25,0.796
2018-07-26,0.795
2018-07-27,0.794
2018-07-30,0.791
2018-07-31,0.793
2018-08-01,0.792
2018-08-02,0.79
2018-08-03,0.79
2018-08-06,0.789
2018-08-07,0.791
2018-08-08,0.79
2018-08-09,0.792
2018-08-10,0.791
2018-08-13,0.79
2018-08-14,0.786
2018-08-15,0.779
2018-08-16,0.764
2018-08-17,0.761
2018-08-20,0.762
2018-08-21,0.765
2018-08-22,0.759
2018-08-23,0.758
2018-08-24,0.758
2018-08-27,0.759
2018-08-28,0.761
2018-08-29,0.759
2018-08-30,0.756
2018-08-31,0.754
2018-09-03,0.75
2018-09-04,0.743
2018-09-05,0.733
2018-09-06,0.728
2018-09-07,0.729
2018-09-10,0.724
2018-09-11,0.727
2018-09-12,0.726
2018-09-13,0.73
2018-09-14,0.73
2018-09-17,0.726
2018-09-18,0.73
2018-09-19,0.73
2018-09-20,0.736
2018-09-21,0.744
2018-09-25,0.739
2018-09-26,0.748
2018-09-27,0.745
2018-09-28,0.741
2018-10-08,0.749
2018-10-09,0.75
2018-10-10,0.748
2018-10-11,0.747
2018-10-12,0.755
2018-10-15,0.762
2018-10-16,0.76
2018-10-17,0.759
2018-10-18,0.755
2018-10-19,0.759
2018-10-22,0.76
2018-10-23,0.76
2018-10-24,0.769
2018-10-25,0.771
2018-10-26,0.767
2018-10-29,0.766
2018-10-30,0.758
2018-10-31,0.757
2018-11-01,0.755
2018-11-02,0.761
2018-11-05,0.761
2018-11-06,0.762
2018-11-07,0.762
2018-11-08,0.758
2018-11-09,0.756
2018-11-12,0.746
2018-11-13,0.745
2018-11-14,0.742
2018-11-15,0.744
2018-11-16,0.748
2018-11-19,0.749
2018-11-20,0.75
2018-11-21,0.749
2018-11-22,0.75
2018-11-23,0.75
2018-11-26,0.745
2018-11-27,0.743
2018-11-28,0.743
2018-11-29,0.748
2018-11-30,0.747
2018-12-03,0.747
2018-12-04,0.751
2018-12-05,0.75
2018-12-06,0.749
2018-12-07,0.749
2018-12-10,0.759
2018-12-11,0.758
2018-12-12,0.757
2018-12-13,0.759
2018-12-14,0.755
2018-12-17,0.755
2018-12-18,0.756
2018-12-19,0.76
2018-12-20,0.757
2018-12-21,0.76
2018-12-24,0.762
2018-12-25,0.762
2018-12-26,0.768
2018-12-27,0.77
2018-12-28,0.786
2019-01-02,0.789
2019-01-03,0.799
2019-01-04,0.797
2019-01-07,0.799
2019-01-08,0.792
2019-01-09,0.792
2019-01-10,0.793
2019-01-11,0.791
2019-01-14,0.785
2019-01-15,0.786
2019-01-16,0.787
2019-01-17,0.787
2019-01-18,0.789
2019-01-21,0.779
2019-01-22,0.774
2019-01-23,0.777
2019-01-24,0.777
2019-01-25,0.779
2019-01-28,0.795
2019-01-29,0.795
2019-01-30,0.799
2019-01-31,0.792
2019-02-01,0.796
2019-02-11,0.793
2019-02-12,0.793
2019-02-13,0.792
2019-02-14,0.787
2019-02-15,0.792
2019-02-18,0.797
2019-02-19,0.799
2019-02-20,0.799
2019-02-21,0.797
2019-02-22,0.79
2019-02-25,0.793
2019-02-26,0.79
2019-02-27,0.789
2019-02-28,0.783
2019-03-01,0.778
2019-03-04,0.765
2019-03-05,0.768
2019-03-06,0.778
2019-03-07,0.771
2019-03-08,0.765
2019-03-11,0.767
2019-03-12,0.768
2019-03-13,0.769
2019-03-14,0.763
2019-03-15,0.768
2019-03-18,0.762
2019-03-19,0.764
2019-03-20,0.763
2019-03-21,0.77
2019-03-22,0.77
2019-03-25,0.77
2019-03-26,0.769
2019-03-27,0.766
2019-03-28,0.762
2019-03-29,0.751
2019-04-01,0.754
2019-04-02,0.757
2019-04-03,0.763
2019-04-04,0.77
2019-04-08,0.767
2019-04-09,0.764
2019-04-10,0.766
2019-04-11,0.764
2019-04-12,0.758
2019-04-15,0.759
2019-04-16,0.76
2019-04-17,0.761
2019-04-18,0.751
2019-04-19,0.753
2019-04-22,0.755
2019-04-23,0.751
2019-04-24,0.747
2019-04-25,0.752
2019-04-26,0.754
2019-04-29,0.75
2019-04-30,0.753
2019-05-06,0.749
2019-05-07,0.752
2019-05-08,0.755
2019-05-09,0.752
2019-05-10,0.752
2019-05-13,0.75
2019-05-14,0.756
2019-05-15,0.755
2019-05-16,0.757
2019-05-17,0.753
2019-05-20,0.748
2019-05-21,0.748
2019-05-22,0.749
2019-05-23,0.747
2019-05-24,0.749
2019-05-27,0.749
2019-05-28,0.747
2019-05-29,0.745
2019-05-30,0.742
2019-05-31,0.746
2019-06-03,0.749
2019-06-04,0.753
2019-06-05,0.757
2019-06-06,0.759
2019-06-10,0.756
2019-06-11,0.752
2019-06-12,0.759
2019-06-13,0.758
2019-06-14,0.767
2019-06-17,0.759
2019-06-18,0.762
2019-06-19,0.76
2019-06-20,0.772
2019-06-21,0.773
2019-06-24,0.776
2019-06-25,0.781
2019-06-26,0.773
2019-06-27,0.77
2019-06-28,0.772
2019-07-01,0.765
2019-07-02,0.768
2019-07-03,0.778
2019-07-04,0.772
2019-07-05,0.773
2019-07-08,0.765
2019-07-09,0.765
2019-07-10,0.766
2019-07-11,0.771
2019-07-12,0.766
2019-07-15,0.772
2019-07-16,0.777
2019-07-17,0.787
2019-07-18,0.809
2019-07-19,0.823
2019-07-22,0.824
2019-07-23,0.82
2019-07-24,0.829
2019-07-25,0.829
2019-07-26,0.824
2019-07-29,0.825
2019-07-30,0.828
2019-07-31,0.829
2019-08-01,0.808
2019-08-02,0.817
2019-08-05,0.847
2019-08-06,0.845
2019-08-07,0.857
2019-08-08,0.877
2019-08-09,0.873
2019-08-12,0.866
2019-08-13,0.897
2019-08-14,0.869
2019-08-15,0.883
2019-08-16,0.885
2019-08-19,0.876
2019-08-20,0.874
2019-08-21,0.877
2019-08-22,0.879
2019-08-23,0.878
2019-08-26,0.915
2019-08-27,0.924
2019-08-28,0.944
2019-08-29,0.965
2019-08-30,0.955
2019-09-02,0.951
2019-09-03,0.961
2019-09-04,1.002
2019-09-05,1.011
2019-09-06,0.956
2019-09-09,0.95
2019-09-10,0.932
2019-09-11,0.941
2019-09-12,0.932
2019-09-16,0.924
2019-09-17,0.916
2019-09-18,0.921
2019-09-19,0.913
2019-09-20,0.923
2019-09-23,0.94
2019-09-24,0.956
2019-09-25,0.947
2019-09-26,0.919
2019-09-27,0.896
2019-09-30,0.887
2019-10-08,0.892
2019-10-09,0.921
2019-10-10,0.914
2019-10-11,0.902
2019-10-14,0.894
2019-10-15,0.895
2019-10-16,0.882
2019-10-17,0.889
2019-10-18,0.892
2019-10-21,0.9
2019-10-22,0.894
2019-10-23,0.896
2019-10-24,0.893
2019-10-25,0.914
2019-10-28,0.916
2019-10-29,0.899
2019-10-30,0.904
2019-10-31,0.904
2019-11-01,0.911
2019-11-04,0.909
2019-11-05,0.906
2019-11-06,0.878
2019-11-07,0.88
2019-11-08,0.847
2019-11-11,0.845
2019-11-12,0.839
2019-11-13,0.851
2019-11-14,0.85
2019-11-15,0.839
2019-11-18,0.84
2019-11-19,0.851
2019-11-20,0.852
2019-11-21,0.848
2019-11-22,0.849
2019-11-25,0.839
2019-11-26,0.843
2019-11-27,0.846
2019-11-28,0.844
2019-11-29,0.843
2019-12-02,0.842
2019-12-03,0.841
2019-12-04,0.865
2019-12-05,0.855
2019-12-06,0.846
2019-12-09,0.833
2019-12-10,0.834
2019-12-11,0.833
2019-12-12,0.842
2019-12-13,0.838
2019-12-16,0.848
2019-12-17,0.849
2019-12-18,0.849
2019-12-19,0.846
2019-12-20,0.851
2019-12-23,0.864
2019-12-24,0.874
2019-12-25,0.881
2019-12-26,0.891
2019-12-27,0.885
2019-12-30,0.887
2019-12-31,0.899
2020-01-02,0.884
2020-01-03,0.9
2020-01-06,0.912
2020-01-07,0.897
2020-01-08,0.914
2020-01-09,0.885
2020-01-10,0.883
2020-01-13,0.883
2020-01-14,0.869
2020-01-15,0.875
2020-01-16,0.876
2020-01-17,0.88
2020-01-20,0.881
2020-01-21,0.886
2020-01-22,0.869
2020-01-23,0.868
2020-02-03,0.877
2020-02-04,0.874
2020-02-05,0.875
2020-02-06,0.873
2020-02-07,0.875
2020-02-10,0.874
2020-02-11,0.876
2020-02-12,0.866
2020-02-13,0.871
2020-02-14,0.874
2020-02-17,0.879
2020-02-18,0.881
2020-02-19,0.903
2020-02-20,0.909
2020-02-21,0.925
2020-02-24,0.945
2020-02-25,0.917
2020-02-26,0.906
2020-02-27,0.912
2020-02-28,0.865
2020-03-02,0.854
2020-03-03,0.848
2020-03-04,0.851
2020-03-05,0.849
2020-03-06,0.854
2020-03-09,0.819
2020-03-10,0.834
2020-03-11,0.837
2020-03-12,0.821
2020-03-13,0.784
2020-03-16,0.753
2020-03-17,0.7
2020-03-18,0.68
2020-03-19,0.651
2020-03-20,0.64
